Tumor_Sample_Barcode	cnt	tmb
TCGA-06-0154-01A-03D-1491-08	14	0.424242424242424
TCGA-06-0155-01B-01D-1492-08	13	0.393939393939394
TCGA-06-0157-01A-01D-1491-08	12	0.363636363636364
TCGA-06-0158-01A-01D-1491-08	15	0.454545454545455
TCGA-06-0166-01A-01D-1491-08	13	0.393939393939394
TCGA-06-0168-01A-01D-1491-08	5	0.151515151515152
TCGA-06-0169-01A-01D-1490-08	16	0.484848484848485
TCGA-06-0171-01A-02D-1491-08	5	0.151515151515152
TCGA-06-0173-01A-01D-1491-08	19	0.575757575757576
TCGA-06-0174-01A-01D-1491-08	12	0.363636363636364
TCGA-06-0184-01A-01D-1491-08	7	0.212121212121212
TCGA-06-0185-01A-01D-1491-08	17	0.515151515151515
TCGA-06-0187-01A-01D-1491-08	11	0.333333333333333
TCGA-06-0188-01A-01D-1491-08	8	0.242424242424242
TCGA-06-0189-01A-01D-1491-08	2	0.0606060606060606
TCGA-06-0190-01A-01D-1491-08	6	0.181818181818182
TCGA-06-0190-02A-01D-2280-08	19	0.575757575757576
TCGA-06-0192-01B-01D-1492-08	16	0.484848484848485
TCGA-06-0195-01B-01D-1491-08	17	0.515151515151515
TCGA-06-0209-01A-01D-1491-08	22	0.666666666666667
TCGA-06-0210-01B-01D-1491-08	1	0.0303030303030303
TCGA-06-0210-02A-01D-2280-08	2	0.0606060606060606
TCGA-06-0211-01B-01D-1491-08	5	0.151515151515152
TCGA-06-0211-02A-02D-2280-08	2	0.0606060606060606
TCGA-06-0213-01A-01D-1491-08	11	0.333333333333333
TCGA-06-0214-01A-02D-1491-08	22	0.666666666666667
TCGA-06-0216-01B-01D-1492-08	15	0.454545454545455
TCGA-06-0219-01A-01D-1491-08	12	0.363636363636364
TCGA-06-0221-01A-01D-1491-08	1	0.0303030303030303
TCGA-06-0221-02A-11D-2280-08	10	0.303030303030303
TCGA-06-0237-01A-02D-1491-08	9	0.272727272727273
TCGA-06-0238-01A-02D-1492-08	15	0.454545454545455
TCGA-06-0241-01A-02D-1491-08	13	0.393939393939394
TCGA-06-0644-01A-02D-1492-08	8	0.242424242424242
TCGA-06-0645-01A-01D-1492-08	13	0.393939393939394
TCGA-06-0646-01A-01D-1492-08	9	0.272727272727273
TCGA-06-0648-01A-01D-1492-08	20	0.606060606060606
TCGA-06-0649-01B-01D-1492-08	33	1
TCGA-06-0650-01A-02D-1696-08	7	0.212121212121212
TCGA-06-0686-01A-01D-1492-08	16	0.484848484848485
TCGA-06-0743-01A-01D-1492-08	20	0.606060606060606
TCGA-06-0744-01A-01D-1492-08	17	0.515151515151515
TCGA-06-0745-01A-01D-1492-08	11	0.333333333333333
TCGA-06-0747-01A-01D-1492-08	24	0.727272727272727
TCGA-06-0749-01A-01D-1492-08	14	0.424242424242424
TCGA-06-0750-01A-01D-1492-08	10	0.303030303030303
TCGA-06-0875-01A-01D-1492-08	17	0.515151515151515
TCGA-06-0876-01A-01D-1492-08	17	0.515151515151515
TCGA-06-0877-01A-01D-1492-08	16	0.484848484848485
TCGA-06-0878-01A-01D-1492-08	10	0.303030303030303
TCGA-06-0879-01A-01D-1492-08	11	0.333333333333333
TCGA-06-0881-01A-02D-1492-08	2	0.0606060606060606
TCGA-06-0882-01A-01D-1492-08	6	0.181818181818182
TCGA-06-0939-01A-01D-1353-08	14	0.424242424242424
TCGA-06-1084-01A-01W-0611-08	23	0.696969696969697
TCGA-06-1087-01A-02W-0611-08	15	0.454545454545455
TCGA-06-1800-01A-01W-0643-08	18	0.545454545454545
TCGA-06-1801-01A-02W-0643-08	72	2.18181818181818
TCGA-06-1802-01A-01W-0643-08	166	5.03030303030303
TCGA-06-1804-01A-01D-1696-08	23	0.696969696969697
TCGA-06-1805-01A-01W-0643-08	90	2.72727272727273
TCGA-06-1806-01A-02D-1845-08	10	0.303030303030303
TCGA-06-2557-01A-01D-1494-08	16	0.484848484848485
TCGA-06-2558-01A-01D-1494-08	23	0.696969696969697
TCGA-06-2559-01A-01D-1494-08	10	0.303030303030303
TCGA-06-2561-01A-02D-1494-08	7	0.212121212121212
TCGA-06-2562-01A-01D-1494-08	13	0.393939393939394
TCGA-06-2563-01A-01D-1494-08	11	0.333333333333333
TCGA-06-2564-01A-01D-1494-08	14	0.424242424242424
TCGA-06-2565-01A-01D-1494-08	9	0.272727272727273
TCGA-06-2566-01A-01W-0837-08	82	2.48484848484848
TCGA-06-2567-01A-01D-1494-08	13	0.393939393939394
TCGA-06-2569-01A-01D-1494-08	13	0.393939393939394
TCGA-06-2570-01A-01D-1495-08	7	0.212121212121212
TCGA-06-5408-01A-01D-1696-08	9	0.272727272727273
TCGA-06-5410-01A-01D-1696-08	5	0.151515151515152
TCGA-06-5411-01A-01D-1696-08	4	0.121212121212121
TCGA-06-5412-01A-01D-1696-08	19	0.575757575757576
TCGA-06-5413-01A-01D-1696-08	10	0.303030303030303
TCGA-06-5414-01A-01D-1486-08	6	0.181818181818182
TCGA-06-5415-01A-01D-1486-08	10	0.303030303030303
TCGA-06-5416-01A-01D-1486-08	3487	105.666666666667
TCGA-06-5417-01A-01D-1486-08	19	0.575757575757576
TCGA-06-5418-01A-01D-1486-08	9	0.272727272727273
TCGA-06-5856-01A-01D-1696-08	20	0.606060606060606
TCGA-06-5858-01A-01D-1696-08	34	1.03030303030303
TCGA-06-5859-01A-01D-1696-08	10	0.303030303030303
TCGA-06-6388-01A-12D-1845-08	9	0.272727272727273
TCGA-06-6389-01A-11D-1696-08	9	0.272727272727273
TCGA-06-6390-01A-11D-1696-08	10	0.303030303030303
TCGA-06-6391-01A-11D-1696-08	16	0.484848484848485
TCGA-06-6693-01A-11D-1845-08	10	0.303030303030303
TCGA-06-6694-01A-12D-1845-08	14	0.424242424242424
TCGA-06-6695-01A-11D-1845-08	12	0.363636363636364
TCGA-06-6697-01A-11D-1845-08	17	0.515151515151515
TCGA-06-6698-01A-11D-1845-08	6	0.181818181818182
TCGA-06-6699-01A-11D-1845-08	12	0.363636363636364
TCGA-06-6700-01A-12D-1845-08	11	0.333333333333333
TCGA-06-6701-01A-11D-1845-08	10	0.303030303030303
TCGA-06-A5U0-01A-11D-A33T-08	5	0.151515151515152
TCGA-06-A5U1-01A-11D-A33T-08	17	0.515151515151515
TCGA-06-A6S0-01A-11D-A33T-08	6	0.181818181818182
TCGA-06-A6S1-01A-11D-A33T-08	15	0.454545454545455
TCGA-06-A7TK-01A-21D-A391-08	16	0.484848484848485
TCGA-06-A7TL-01A-11D-A391-08	6	0.181818181818182
TCGA-08-0386-01A-01D-1492-08	3	0.0909090909090909
TCGA-09-0364-01A-02W-0371-08	1	0.0303030303030303
TCGA-09-0365-01A-02W-0371-08	16	0.484848484848485
TCGA-09-0369-01A-01W-0371-08	37	1.12121212121212
TCGA-09-1664-01A-01W-0639-09	3	0.0909090909090909
TCGA-09-1670-01A-01W-0633-09	7	0.212121212121212
TCGA-09-1672-01A-01W-0633-09	11	0.333333333333333
TCGA-09-1673-01A-01W-0633-09	13	0.393939393939394
TCGA-09-1674-01A-01W-0633-09	35	1.06060606060606
TCGA-09-1675-01B-01W-0633-09	20	0.606060606060606
TCGA-09-2043-01A-01W-0799-08	31	0.939393939393939
TCGA-09-2044-01B-01D-0704-01	601	18.2121212121212
TCGA-09-2045-01A-01W-0799-08	13	0.393939393939394
TCGA-09-2049-01D-01W-0799-08	46	1.39393939393939
TCGA-09-2050-01A-01W-0799-08	26	0.787878787878788
TCGA-09-2051-01A-01W-0799-08	74	2.24242424242424
TCGA-09-2053-01C-01W-0722-08	17	0.515151515151515
TCGA-09-2055-01B-01W-0799-08	25	0.757575757575758
TCGA-09-2056-01B-01W-0722-08	34	1.03030303030303
TCGA-10-0926-01A-01W-0420-08	5	0.151515151515152
TCGA-10-0927-01A-02W-0420-08	4	0.121212121212121
TCGA-10-0930-01A-02W-0420-08	47	1.42424242424242
TCGA-10-0931-01A-01W-0420-08	17	0.515151515151515
TCGA-10-0933-01A-01W-0420-08	14	0.424242424242424
TCGA-10-0934-01A-02D-0399-01	2	0.0606060606060606
TCGA-10-0935-01A-03W-0421-09	13	0.393939393939394
TCGA-12-0615-01A-01D-1492-08	19	0.575757575757576
TCGA-12-0616-01A-01D-1492-08	9	0.272727272727273
TCGA-12-0618-01A-01D-1492-08	9	0.272727272727273
TCGA-12-0619-01A-01D-1492-08	9	0.272727272727273
TCGA-12-0656-01A-03W-0348-08	12	0.363636363636364
TCGA-12-0657-01A-01W-0348-08	18	0.545454545454545
TCGA-12-0662-01A-01W-0348-08	5	0.151515151515152
TCGA-12-0670-01B-01W-0424-08	11	0.333333333333333
TCGA-12-0688-01A-02D-1492-08	12	0.363636363636364
TCGA-12-0691-01A-01W-0348-08	16	0.484848484848485
TCGA-12-0692-01A-01D-1492-08	19	0.575757575757576
TCGA-12-0707-01A-01W-0348-08	14	0.424242424242424
TCGA-12-0773-01A-01W-0348-08	14	0.424242424242424
TCGA-12-0775-01A-01W-0348-08	56	1.6969696969697
TCGA-12-0778-01A-01W-0348-08	77	2.33333333333333
TCGA-12-0818-01A-01W-0424-08	37	1.12121212121212
TCGA-12-0819-01A-01W-0424-08	15	0.454545454545455
TCGA-12-0820-01A-01W-0424-08	30	0.909090909090909
TCGA-12-0821-01A-01D-1492-08	17	0.515151515151515
TCGA-12-0822-01A-01W-0424-08	19	0.575757575757576
TCGA-12-0826-01A-01W-0424-08	13	0.393939393939394
TCGA-12-0827-01A-01W-0424-08	9	0.272727272727273
TCGA-12-0828-01A-01W-0424-08	32	0.96969696969697
TCGA-12-0829-01A-01W-0424-08	205	6.21212121212121
TCGA-12-1088-01A-01W-0611-08	27	0.818181818181818
TCGA-12-1089-01A-01W-0611-08	34	1.03030303030303
TCGA-12-1092-01B-01W-0611-08	10	0.303030303030303
TCGA-12-1093-01A-01W-0611-08	22	0.666666666666667
TCGA-12-1597-01B-01D-1495-08	18	0.545454545454545
TCGA-12-1598-01A-01W-0643-08	18	0.545454545454545
TCGA-12-1599-01A-01W-0643-08	5	0.151515151515152
TCGA-12-1600-01A-01W-0643-08	15	0.454545454545455
TCGA-12-1602-01A-01W-0643-08	4	0.121212121212121
TCGA-12-3644-01A-01W-0922-08	29	0.878787878787879
TCGA-12-3646-01A-01W-0922-08	14	0.424242424242424
TCGA-12-3648-01A-01W-0922-08	12	0.363636363636364
TCGA-12-3649-01A-01D-1495-08	20	0.606060606060606
TCGA-12-3650-01A-01D-1495-08	10	0.303030303030303
TCGA-12-3651-01A-01W-0922-08	29	0.878787878787879
TCGA-12-3652-01A-01D-1495-08	12	0.363636363636364
TCGA-12-3653-01A-01D-1495-08	10	0.303030303030303
TCGA-12-5295-01A-01D-1486-08	13	0.393939393939394
TCGA-12-5299-01A-02D-1486-08	5	0.151515151515152
TCGA-12-5301-01A-01D-1486-08	18	0.545454545454545
TCGA-13-0714-01A-01W-0371-08	3	0.0909090909090909
TCGA-13-0726-01A-01W-0371-08	25	0.757575757575758
TCGA-13-0751-01A-01D-0446-08	16	0.484848484848485
TCGA-13-0755-01A-01W-0371-08	31	0.939393939393939
TCGA-13-0757-01A-01D-0356-01	25	0.757575757575758
TCGA-13-0760-01A-01W-0371-08	48	1.45454545454545
TCGA-13-0764-01A-03W-0371-08	8	0.242424242424242
TCGA-13-0765-01A-01W-0372-09	9	0.272727272727273
TCGA-13-0768-01A-01W-0371-08	9	0.272727272727273
TCGA-13-0791-01A-01W-0371-08	22	0.666666666666667
TCGA-13-0794-01A-01W-0371-08	10	0.303030303030303
TCGA-13-0795-01A-01W-0371-08	27	0.818181818181818
TCGA-13-0800-01A-01W-0371-08	36	1.09090909090909
TCGA-13-0804-01A-01W-0372-09	8	0.242424242424242
TCGA-13-0805-01A-01W-0371-08	4	0.121212121212121
TCGA-13-0807-01B-02W-0420-08	74	2.24242424242424
TCGA-13-0883-01A-02W-0420-08	8	0.242424242424242
TCGA-13-0884-01B-01W-0494-09	36	1.09090909090909
TCGA-13-0885-01A-02W-0420-08	74	2.24242424242424
TCGA-13-0886-01A-01W-0420-08	14	0.424242424242424
TCGA-13-0887-01A-01W-0420-08	39	1.18181818181818
TCGA-13-0888-01A-01W-0420-08	59	1.78787878787879
TCGA-13-0889-01A-01W-0420-08	782	23.6969696969697
TCGA-13-0890-01A-01W-0420-08	25	0.757575757575758
TCGA-13-0891-01A-01W-0420-08	4	0.121212121212121
TCGA-13-0893-01B-01W-0494-09	27	0.818181818181818
TCGA-13-0894-01B-01W-0492-08	32	0.96969696969697
TCGA-13-0897-01A-01W-0420-08	19	0.575757575757576
TCGA-13-0899-01A-01W-0420-08	6	0.181818181818182
TCGA-13-0903-01A-01W-0420-08	85	2.57575757575758
TCGA-13-0904-01A-02W-0420-08	15	0.454545454545455
TCGA-13-0905-01B-01W-0492-08	20	0.606060606060606
TCGA-13-0910-01A-01W-0420-08	11	0.333333333333333
TCGA-13-0911-01A-01W-0420-08	5	0.151515151515152
TCGA-13-0912-01A-01W-0420-08	10	0.303030303030303
TCGA-13-0913-01A-01W-0420-08	12	0.363636363636364
TCGA-13-0916-01A-01W-0420-08	9	0.272727272727273
TCGA-13-0920-01A-01W-0420-08	91	2.75757575757576
TCGA-13-0921-01A-01W-0420-08	10	0.303030303030303
TCGA-13-0923-01A-01W-0420-08	11	0.333333333333333
TCGA-13-1403-01A-01W-0492-08	21	0.636363636363636
TCGA-13-1404-01A-01W-0494-09	14	0.424242424242424
TCGA-13-1405-01A-01W-0494-09	15	0.454545454545455
TCGA-13-1411-01A-01W-0492-08	11	0.333333333333333
TCGA-13-1412-01A-01W-0492-08	11	0.333333333333333
TCGA-13-1477-01A-01D-0472-01	30	0.909090909090909
TCGA-13-1481-01A-01W-0549-09	67	2.03030303030303
TCGA-13-1482-01A-01W-0549-09	16	0.484848484848485
TCGA-13-1483-01A-01W-0549-09	27	0.818181818181818
TCGA-13-1484-01A-01W-0545-08	10	0.303030303030303
TCGA-13-1487-01A-01W-0545-08	5	0.151515151515152
TCGA-13-1488-01A-01W-0549-09	40	1.21212121212121
TCGA-13-1489-01A-01W-0549-09	16	0.484848484848485
TCGA-13-1491-01A-01W-0549-09	8	0.242424242424242
TCGA-13-1492-01A-01W-0545-08	2	0.0606060606060606
TCGA-13-1494-01A-01W-0545-08	28	0.848484848484849
TCGA-13-1495-01A-01W-0545-08	3	0.0909090909090909
TCGA-13-1496-01A-01W-0545-08	13	0.393939393939394
TCGA-13-1497-01A-01W-0549-09	48	1.45454545454545
TCGA-13-1498-01A-01W-0549-09	34	1.03030303030303
TCGA-13-1499-01A-01W-0549-09	25	0.757575757575758
TCGA-13-1500-01A-01D-0472-01	19	0.575757575757576
TCGA-13-1501-01A-01W-0545-08	21	0.636363636363636
TCGA-13-1504-01A-01W-0545-08	15	0.454545454545455
TCGA-13-1505-01A-01D-0472-01	21	0.636363636363636
TCGA-13-1506-01A-01W-0549-09	7	0.212121212121212
TCGA-13-1507-01A-01W-0549-09	21	0.636363636363636
TCGA-13-1509-01A-01W-0549-09	29	0.878787878787879
TCGA-13-1510-01A-02W-0545-08	15	0.454545454545455
TCGA-13-1511-01A-01W-0545-08	3	0.0909090909090909
TCGA-13-1512-01A-01W-0545-08	21	0.636363636363636
TCGA-13-2057-01A-02D-1526-09	57	1.72727272727273
TCGA-13-2059-01A-01D-1526-09	38	1.15151515151515
TCGA-13-2060-01A-01W-0799-08	18	0.545454545454545
TCGA-13-2061-01A-01D-1526-09	35	1.06060606060606
TCGA-13-2065-01A-01D-1526-09	16	0.484848484848485
TCGA-13-2071-01A-02D-1526-09	15	0.454545454545455
TCGA-13-A5FT-01A-11D-A403-09	28	0.848484848484849
TCGA-13-A5FU-01A-11D-A403-09	17	0.515151515151515
TCGA-14-0736-01A-01D-2280-08	2	0.0606060606060606
TCGA-14-0736-02A-01D-2280-08	2	0.0606060606060606
TCGA-14-0740-01B-01D-1845-08	12	0.363636363636364
TCGA-14-0781-01B-01D-1696-08	6	0.181818181818182
TCGA-14-0786-01B-01D-1492-08	8	0.242424242424242
TCGA-14-0787-01A-01D-1492-08	15	0.454545454545455
TCGA-14-0789-01A-01D-1492-08	16	0.484848484848485
TCGA-14-0790-01B-01D-1494-08	15	0.454545454545455
TCGA-14-0812-01B-01W-0643-08	32	0.96969696969697
TCGA-14-0813-01A-01D-1492-08	25	0.757575757575758
TCGA-14-0817-01A-01D-1492-08	10	0.303030303030303
TCGA-14-0862-01B-01D-1845-08	12	0.363636363636364
TCGA-14-0865-01B-01W-0643-08	14	0.424242424242424
TCGA-14-0866-01B-01W-0643-08	118	3.57575757575758
TCGA-14-0867-01A-01W-0424-08	20	0.606060606060606
TCGA-14-0871-01A-01D-1492-08	12	0.363636363636364
TCGA-14-1034-01A-01D-1492-08	5	0.151515151515152
TCGA-14-1034-02B-01D-2280-08	8	0.242424242424242
TCGA-14-1037-01A-01W-0643-08	13	0.393939393939394
TCGA-14-1043-01B-11D-1845-08	5	0.151515151515152
TCGA-14-1395-01B-11D-1845-08	7	0.212121212121212
TCGA-14-1396-01A-01W-0611-08	75	2.27272727272727
TCGA-14-1450-01B-01D-1845-08	15	0.454545454545455
TCGA-14-1451-01A-01W-0611-08	10	0.303030303030303
TCGA-14-1453-01A-01W-0611-08	15	0.454545454545455
TCGA-14-1455-01A-01W-0643-08	15	0.454545454545455
TCGA-14-1456-01B-01D-1494-08	9	0.272727272727273
TCGA-14-1458-01A-01W-0643-08	55	1.66666666666667
TCGA-14-1794-01A-01W-0643-08	61	1.84848484848485
TCGA-14-1795-01A-01W-0643-08	91	2.75757575757576
TCGA-14-1821-01A-01W-0643-08	4	0.121212121212121
TCGA-14-1823-01A-01D-1494-08	15	0.454545454545455
TCGA-14-1825-01A-01D-1494-08	8	0.242424242424242
TCGA-14-1827-01A-01W-0643-08	7	0.212121212121212
TCGA-14-1829-01A-01D-1494-08	9	0.272727272727273
TCGA-14-2554-01A-01D-1494-08	16	0.484848484848485
TCGA-14-3476-01B-01D-1353-08	11	0.333333333333333
TCGA-14-3477-01A-01W-0922-08	15	0.454545454545455
TCGA-14-4157-01A-01D-1353-08	12	0.363636363636364
TCGA-15-0742-01A-01D-1492-08	24	0.727272727272727
TCGA-15-1446-01A-01W-0611-08	46	1.39393939393939
TCGA-16-0846-01A-01D-1492-08	16	0.484848484848485
TCGA-16-0848-01A-01D-1492-08	72	2.18181818181818
TCGA-16-0849-01A-01W-0424-08	13	0.393939393939394
TCGA-16-0850-01A-01W-0424-08	11	0.333333333333333
TCGA-16-0861-01A-01D-1492-08	16	0.484848484848485
TCGA-16-1045-01B-01D-1492-08	20	0.606060606060606
TCGA-16-1048-01B-01D-1353-08	21	0.636363636363636
TCGA-16-1460-01A-01W-0643-08	34	1.03030303030303
TCGA-17-Z000-01A-01W-0746-08	32	0.96969696969697
TCGA-17-Z001-01A-01W-0746-08	65	1.96969696969697
TCGA-17-Z002-01A-01W-0746-08	3	0.0909090909090909
TCGA-17-Z003-01A-01W-0746-08	62	1.87878787878788
TCGA-17-Z004-01A-01W-0746-08	6	0.181818181818182
TCGA-17-Z005-01A-01W-0746-08	32	0.96969696969697
TCGA-17-Z007-01A-01W-0746-08	19	0.575757575757576
TCGA-17-Z009-01A-01W-0746-08	12	0.363636363636364
TCGA-17-Z010-01A-01W-0746-08	63	1.90909090909091
TCGA-17-Z011-01A-01W-0746-08	25	0.757575757575758
TCGA-17-Z013-01A-01W-0746-08	14	0.424242424242424
TCGA-17-Z014-01A-01W-0746-08	109	3.3030303030303
TCGA-17-Z015-01A-01W-0746-08	117	3.54545454545455
TCGA-17-Z016-01A-01W-0746-08	66	2
TCGA-17-Z017-01A-01W-0746-08	56	1.6969696969697
TCGA-17-Z018-01A-01W-0746-08	69	2.09090909090909
TCGA-17-Z019-01A-01W-0746-08	1	0.0303030303030303
TCGA-17-Z020-01A-01W-0746-08	39	1.18181818181818
TCGA-17-Z021-01A-01W-0746-08	47	1.42424242424242
TCGA-17-Z022-01A-01W-0746-08	289	8.75757575757576
TCGA-17-Z023-01A-01W-0746-08	114	3.45454545454545
TCGA-17-Z025-01A-01W-0746-08	66	2
TCGA-17-Z026-01A-01W-0746-08	279	8.45454545454546
TCGA-17-Z027-01A-01W-0746-08	21	0.636363636363636
TCGA-17-Z028-01A-01W-0746-08	131	3.96969696969697
TCGA-17-Z030-01A-01W-0746-08	148	4.48484848484848
TCGA-17-Z031-01A-01W-0746-08	634	19.2121212121212
TCGA-17-Z032-01A-01W-0746-08	29	0.878787878787879
